url,label
https://raw.githubusercontent.com/Gracej4607/samourai-wallet-recovery-guide/main/diatomin/wallet_samourai_recovery_guide_2.9.zip,1
http://141.11.88.114/arm6,1
https://cnn.com/2026/07/11/uk/uk-widdecombe-murder-arrest-latam-intl,0
http://62.60.226.159/uploads/33pAY8SMaVfA.exe,1
http://178.16.54.93:8080/armv6l,1
http://182.127.153.231:52074/i,1
https://yahoo.com/news/politics/articles/texas-hispanics-swung-hard-trump-180000799.html,0
https://ampproject.org/community/governance/,0
https://sentry.io/astro-assets/fonts/dammitsansv0.3-bold.otf,0
http://123.188.87.204:50099/i,1
https://cloudflare.com/_astro/_separator.Dhs0SM2M.css,0
http://railmesenpai.com/armv6l,1
https://avast.com/business/partners/distributor,0
https://nist.gov/ncnr,0
https://wiley.com/etc.clientlibs/web-strategy-build/clientlibs/clientlib-base/resources/5722.4aec60f.css,0
https://ea.com/security,0
https://xlyvz7lr.motuntakhasosi.store/?ublib=d5ecbaca-6280-4331-bfab-91b43ba495cf,1
http://zippycanyonez.pro/bins/vcimanagement.x86,1
https://yunczfkm.cyou/fuetyshfgjufhgj.zip,1
https://bbc.com/news/world/europe,0
https://raw.githubusercontent.com/Bartrixxx/engineering-notebook/main/docs/engineering-notebook-v3.9.zip,1
http://dns2.vendasptg.com/mirai.sh4,1
https://raw.githubusercontent.com/rexnzm/MCP-rag-with-Chromadb/main/downloads/MC-with-Chromadb-rag-3.4.zip,1
http://119.117.252.95:53457/i,1
https://raw.githubusercontent.com/Ugisp77/wip-hex-tile-game/main/src/core/game-hex-tile-wip-1.4.zip,1
https://b-cdn.net/solutions/video-delivery/,0
http://91.92.242.236/files-129312398/files/file_450f56fd01ac5677.exe,1
https://zendesk.com/in/employee-service/,0
https://192.109.200.17/Bin/ScreenConnect.ClientSetup.exe,1
https://crashlytics.com/products/app-check,0
http://83.142.209.46/a3f8d2/kaizen.mips,1
https://vrdccbank.com/favour4.exe,1
https://autodesk.com/products/autocad-lt/overview,0
https://ui.com/microsite/static/SiteSettingsContext-DOodXZ-v.js,0
http://94.154.43.42/n2/nova.x86,1
https://mozilla.com/en-US/user-privacy/,0
https://xweepogg.jamjahani2026.football/eaafea33-00a7-4ed3-ad29-ddbe9349d2de,1
http://112.239.101.142:35487/bin.sh,1
https://raw.githubusercontent.com/navaneethsnair2007-creator/AppleKeyStore-close-UAF/main/PoC/UAFTester.xcodeproj/UAF-Store-close-Apple-Key-v3.6-beta.4.zip,1
https://dqr7yibh.thevallartasrestaurants.com/?ublib=622239d9-c6ac-4d06-8e25-37ff6868e811,1
https://raw.githubusercontent.com/Jlyayou/Internet-Speed-Inspector/main/android/app/src/debug/Internet_Inspector_Speed_2.8.zip,1
